symbol,organ_name,icb_code1,icb_code2,icb_code3,icb_code4,icb_name2,icb_name3,icb_name4
HAH,Công ty Cổ phần Vận tải và Xếp dỡ Hải An,2000,2700,2770,2777,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
HAP,Công ty Cổ phần Tập Đoàn Hapaco,1000,1700,1730,1737,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Sản xuất giấy
HAR,Công ty Cổ phần Đầu tư Thương mại Bất động sản An Dương Thảo Điền,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
HAS,Công ty Cổ phần Hacisco,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
HAX,Công ty Cổ phần Dịch vụ Ô tô Hàng Xanh,3000,3300,3350,3353,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô
HCD,Công ty Cổ phần Đầu tư Sản xuất và Thương mại HCD,1000,1300,1350,1353,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
HCM,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,8000,8700,8770,8777,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
HDB,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh,8301,8300,8350,8355,Ngân hàng,Ngân hàng,Ngân hàng
HDC,Công ty Cổ phần Phát triển Nhà Bà Rịa Vũng Tàu,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
HDG,Công ty Cổ phần Tập đoàn Hà Đô,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
HHP,Công ty Cổ phần HHP Global,1000,1700,1730,1737,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Sản xuất giấy
HHS,Công ty Cổ phần Đầu tư Dịch vụ Hoàng Huy,3000,3300,3350,3353,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô
HHV,Công ty Cổ phần Đầu tư Hạ tầng Giao thông Đèo Cả,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
HID,Công ty Cổ phần Halcom Vietnam,2000,2300,2350,2357,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
HII,Công ty Cổ phần An Tiến Industries,1000,1300,1350,1353,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
HMC,Công ty Cổ phần Kim khí Thành phố Hồ Chí Minh - VNSTEEL,1000,1700,1750,1757,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
HNA,Công ty Cổ phần Thủy điện Hủa Na,7000,7500,7530,7535,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
HPG,Công ty Cổ phần Tập đoàn Hòa Phát,1000,1700,1750,1757,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
HPX,Công ty Cổ phần Đầu tư Hải Phát,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
HQC,Công ty Cổ phần Tư vấn - Thương mại - Dịch vụ Địa ốc Hoàng Quân,8000,8600,8630,8633,Bất động sản,Bất động sản,Bất động sản
